Model,AUC,Accuracy,Precision,Recall,F1,Composite
Logistic Regression,0.6306408866884654,0.6928634665943783,0.265843675116625,0.41834220278783796,0.32509770294040674,0.5084236131892419
XGBoost,0.6289568097634552,0.17762337111183243,0.17696599349612593,1.0,0.30071555928384336,0.4976603095716105
Random Forest,0.630504418406226,0.7442984017756199,0.2994585688498804,0.3330504003622975,0.31536247263528316,0.5044476400978488
ExtraTrees,0.623394507940745,0.735599132178195,0.29137949393827517,0.34587199540664004,0.31629586960277967,0.5005550526055589
Ensemble,0.6331962047657664,0.340507948752336,0.19566766375654582,0.8774980037603782,0.31998411716636127,0.5079113697260044
KNN,0.5318812429898366,0.8186410110871362,0.37601369875309687,0.038884050043399405,0.07047970504410024,0.3473206278115421
