Model,AUC-ROC,Accuracy,Precision_Adult,Recall_Adult,F1_Adult,Precision_Childhood,Recall_Childhood,F1_Childhood
LR,0.8266609866645012,0.761808505535961,0.6211488049652778,0.7568398425898042,0.6823135511440769,0.8602844759894972,0.7643450305257163,0.8094819913389707
XGB,0.7851163778428791,0.7344705633221353,0.6234973498034719,0.5410638594496706,0.5793630764288614,0.780524421557858,0.8332055636380702,0.8060050895298128
RF,0.7921237718313588,0.6931537970765242,0.5376499420672988,0.6575276472545755,0.5915768578871221,0.8027097013469618,0.7113411082890937,0.7542684894806286
ET,0.8086141684436373,0.7556298021730629,0.6111220654787103,0.7615403750460954,0.6780896937278605,0.8607707233930737,0.7526124278897445,0.8030662071488461
