Model,CV_AUC_Mean,CV_AUC_Std,CV_Accuracy_Mean,CV_Accuracy_Std,CV_F1_Mean,CV_F1_Std
LR,0.7964192164808915,0.026451085167753175,0.7236715985809553,0.026697330923168797,0.65048218401644,0.030024138718070383
XGB,0.790306326250143,0.022755603427180988,0.7274021314342809,0.017721578337109634,0.5574872186854443,0.03781867341530424
RF,0.8098968687112718,0.03173384844417373,0.7324908228808874,0.042205821834350496,0.6494743547702414,0.053287414453075055
ET,0.8122937961097847,0.027204340764123713,0.7361088701291149,0.032545734378537985,0.6626411956830636,0.03743365457398109
