feature,coefficient,abs_coefficient
Eosinophils,0.31335067452887505,0.31335067452887505
Child was overweight,0.17049013367773155,0.17049013367773155
Gender,0.16010740698685327,0.16010740698685327
Shortness of breath on stairs,0.15348078382570007,0.15348078382570007
Mother smoked when pregnant,0.09620865820363764,0.09620865820363764
