Model,CV_AUC_Mean,CV_AUC_Std,CV_Accuracy_Mean,CV_Accuracy_Std,CV_F1_Mean,CV_F1_Std,Test_AUC,Test_Accuracy,Test_Precision_Adult,Test_Recall_Adult,Test_F1_Adult,Test_Precision_Childhood,Test_Recall_Childhood,Test_F1_Childhood
LR,0.7964192164808915,0.026451085167753175,0.7236715985809553,0.026697330923168797,0.65048218401644,0.030024138718070383,0.8266609866645012,0.761808505535961,0.6211488049652778,0.7568398425898042,0.6823135511440769,0.8602844759894972,0.7643450305257163,0.8094819913389707
XGB,0.790306326250143,0.022755603427180988,0.7274021314342809,0.017721578337109634,0.5574872186854443,0.03781867341530424,0.7851163778428791,0.7344705633221353,0.6234973498034719,0.5410638594496706,0.5793630764288614,0.780524421557858,0.8332055636380702,0.8060050895298128
RF,0.8098968687112718,0.03173384844417373,0.7324908228808874,0.042205821834350496,0.6494743547702414,0.053287414453075055,0.7921237718313588,0.6931537970765242,0.5376499420672988,0.6575276472545755,0.5915768578871221,0.8027097013469618,0.7113411082890937,0.7542684894806286
ET,0.8122937961097847,0.027204340764123713,0.7361088701291149,0.032545734378537985,0.6626411956830636,0.03743365457398109,0.8086141684436373,0.7556298021730629,0.6111220654787103,0.7615403750460954,0.6780896937278605,0.8607707233930737,0.7526124278897445,0.8030662071488461
